,movieId,title,dbpedia_link,genres,director_uri,director,country_uri,country,runtime,writer_uri,writer,starring,languagues,studios
10,3801,Anatomy of a Murder (1959),http://dbpedia.org/resource/Anatomy_of_a_Murder,Drama|Mystery,http://dbpedia.org/resource/Otto_Preminger,Otto Preminger,,,9600.0,http://dbpedia.org/resource/Wendell_Mayes,Wendell Mayes,Lee Remick|James Stewart|Arthur O'Connell|George C. Scott|Ben Gazzara,,
11,2173,"Navigator: A Mediaeval Odyssey, The (1988)",http://dbpedia.org/resource/The_Navigator:_A_Medieval_Odyssey,Adventure|Fantasy|Sci-Fi,http://dbpedia.org/resource/Vincent_Ward_(director),Vincent Ward (director),,,5580.0,http://dbpedia.org/resource/Vincent_Ward_(director),Vincent Ward (director),Paul Livingston|Chris Haywood|Marshall Napier|Jay Laga'aia,,
12,2908,Boys Don't Cry (1999),http://dbpedia.org/resource/Boys_Don't_Cry_(film),Drama,http://dbpedia.org/resource/Kimberly_Peirce,Kimberly Peirce,,,7080.0,,,Brendan Sexton III|Jeannetta Arnette|Hilary Swank|Chloë Sevigny|Lecy Goranson|Peter Sarsgaard|Matt McGrath (actor),,
13,2816,Iron Eagle II (1988),http://dbpedia.org/resource/Iron_Eagle_II,Action|War,http://dbpedia.org/resource/Sidney_J._Furie,Sidney J. Furie,http://dbpedia.org/resource/Israel,Israel,6300.0,http://dbpedia.org/resource/Sidney_J._Furie,Sidney J. Furie,"Stuart Margolin|Louis Gossett, Jr.|Mark Humphrey (actor)|Maury Chaykin",,Carolco Pictures
14,2243,Broadcast News (1987),http://dbpedia.org/resource/Broadcast_News_(film),Comedy|Drama|Romance,http://dbpedia.org/resource/James_L._Brooks,James L. Brooks,,,7980.0,http://dbpedia.org/resource/James_L._Brooks,James L. Brooks,William Hurt|Holly Hunter|Albert Brooks,,Gracie Films
15,3553,Gossip (2000),http://dbpedia.org/resource/Gossip_(2000_American_film),Drama|Thriller,http://dbpedia.org/resource/Davis_Guggenheim,Davis Guggenheim,,,5400.0,http://dbpedia.org/resource/Gregory_Poirier,Gregory Poirier,Joshua Jackson|Marisa Coughlan|James Marsden|Kate Hudson|Lena Headey|Norman Reedus,,Village Roadshow Pictures
16,3344,Blood Feast (1963),http://dbpedia.org/resource/Blood_Feast_(1972_film),Horror,http://dbpedia.org/resource/René_Cardona_Jr.,René Cardona Jr.,,,5580.0,http://dbpedia.org/resource/René_Cardona_Jr.,René Cardona Jr.,Anjanette Comer|Hugo Stiglitz,,
17,2095,"Shaggy D.A., The (1976)",http://dbpedia.org/resource/The_Shaggy_D.A.,Children|Comedy,http://dbpedia.org/resource/Robert_Stevenson_(director),Robert Stevenson (director),,,5460.0,http://dbpedia.org/resource/Felix_Salten,Felix Salten,Suzanne Pleshette|Dean Jones (actor)|Tim Conway|Keenan Wynn,,Walt Disney Pictures
18,2,Jumanji (1995),http://dbpedia.org/resource/Jumanji,Adventure|Children|Fantasy,http://dbpedia.org/resource/Joe_Johnston,Joe Johnston,,,6240.0,http://dbpedia.org/resource/Jonathan_Hensleigh,Jonathan Hensleigh,Robin Williams|Bebe Neuwirth|David Alan Grier|Kirsten Dunst|Bonnie Hunt|Jonathan Hyde,,Interscope Communications
19,2950,"Blue Lagoon, The (1980)",http://dbpedia.org/resource/Blue_Lagoon:_The_Awakening,Adventure|Drama|Romance,http://dbpedia.org/resource/Mikael_Salomon,Mikael Salomon,,,5340.0,,,Denise Richards|Indiana Evans|Frank John Hughes|Brenton Thwaites|Aimee Carrero|Patrick St. Esprit|Christopher Atkins|Hayley Kiyoko,,
20,1705,Guy (1996),http://dbpedia.org/resource/Guy_(film),Drama,http://dbpedia.org/resource/Michael_Lindsay-Hogg,Michael Lindsay-Hogg,http://dbpedia.org/resource/United_States,United States,5460.0,http://dbpedia.org/resource/Kirby_Dick,Kirby Dick,Lucy Liu|Vincent D'Onofrio|Hope Davis,,
21,785,Kingpin (1996),http://dbpedia.org/resource/Kingpin,Comedy,,,,,,,,,,
22,3861,"Replacements, The (2000)",http://dbpedia.org/resource/The_Replacements_(film),Comedy,http://dbpedia.org/resource/Howard_Deutch,Howard Deutch,,,7080.0,,,Gene Hackman|Keanu Reeves|Orlando Jones|Jon Favreau|Brooke Langton|Brett Cullen,,
23,3942,Sorority House Massacre II (1990),http://dbpedia.org/resource/Sorority_House_Massacre_II,Horror,http://dbpedia.org/resource/Jim_Wynorski,Jim Wynorski,,,4800.0,http://dbpedia.org/resource/Mark_Thomas_McGee,Mark Thomas McGee,Gail Harris|Melissa Moore,,
24,2005,"Goonies, The (1985)",http://dbpedia.org/resource/The_Goonies,Action|Adventure|Children|Comedy|Fantasy,http://dbpedia.org/resource/Richard_Donner,Richard Donner,,,6840.0,http://dbpedia.org/resource/Chris_Columbus_(filmmaker),Chris Columbus (filmmaker),Jeff Cohen (actor)|Josh Brolin|Corey Feldman|Kerri Green|Martha Plimpton|Sean Astin|Jonathan Ke Quan,,Amblin Entertainment
25,2636,"Mummy's Ghost, The (1944)",http://dbpedia.org/resource/The_Mummy's_Ghost,Horror,http://dbpedia.org/resource/Reginald_Le_Borg,Reginald Le Borg,,,3660.0,,,"John Carradine|Robert Lowery (actor)|Lon Chaney, Jr.|Ramsay Ames",,
26,834,Phat Beach (1996),http://dbpedia.org/resource/Phat_Beach,Comedy,http://dbpedia.org/resource/Doug_Ellin,Doug Ellin,,,5280.0,http://dbpedia.org/resource/Doug_Ellin,Doug Ellin,Coolio|Brian Hooks|Jermaine 'Huggy' Hopkins,,
27,392,"Secret Adventures of Tom Thumb, The (1993)",http://dbpedia.org/resource/The_Secret_Adventures_of_Tom_Thumb,Adventure|Animation,,,,,3660.0,,,,English language,Bolexbrothers|BBC Bristol
28,117,"Young Poisoner's Handbook, The (1995)",http://dbpedia.org/resource/The_Young_Poisoner's_Handbook,Crime|Drama,http://dbpedia.org/resource/Benjamin_Ross,Benjamin Ross,,,5580.0,http://dbpedia.org/resource/Jeff_Rawle,Jeff Rawle,Roger Lloyd-Pack|Ruth Sheen|Charlotte Coleman|Hugh O'Conor,English language,
29,162,Crumb (1994),http://dbpedia.org/resource/Crumb_(film),Documentary,http://dbpedia.org/resource/Terry_Zwigoff,Terry Zwigoff,,,7200.0,,,Jack Harrington|Robert Crumb|Charles Crumb|Aline Kominsky-Crumb,,
30,2263,"Seventh Sign, The (1988)",http://dbpedia.org/resource/The_Seventh_Sign,Drama|Fantasy|Thriller,http://dbpedia.org/resource/Carl_Schultz,Carl Schultz,http://dbpedia.org/resource/United_States,United States,5820.0,,,Jürgen Prochnow|Demi Moore|Peter Friedman|Michael Biehn,,Interscope Communications
31,3802,Freejack (1992),http://dbpedia.org/resource/Freejack,Action|Sci-Fi,http://dbpedia.org/resource/Geoff_Murphy,Geoff Murphy,,,6480.0,http://dbpedia.org/resource/Dan_Gilroy,Dan Gilroy,Mick Jagger|Anthony Hopkins|Jonathan Banks|Rene Russo|David Johansen|Emilio Estevez,,Morgan Creek Productions
32,2682,Limbo (1999),http://dbpedia.org/resource/Limbo_(1999_film),Drama,http://dbpedia.org/resource/John_Sayles,John Sayles,,,7560.0,http://dbpedia.org/resource/John_Sayles,John Sayles,David Strathairn|Mary Elizabeth Mastrantonio|Vanessa Martinez,,
33,1727,"Horse Whisperer, The (1998)",http://dbpedia.org/resource/The_Horse_Whisperer_(film),Drama|Romance,http://dbpedia.org/resource/Robert_Redford,Robert Redford,,,10200.0,http://dbpedia.org/resource/Eric_Roth,Eric Roth,Sam Neill|Dianne Wiest|Scarlett Johansson|Robert Redford|Kristin Scott Thomas,,Touchstone Pictures
34,2244,"Allnighter, The (1987)",http://dbpedia.org/resource/The_Allnighter_(film),Comedy|Romance,http://dbpedia.org/resource/Tamar_Simon_Hoffs,Tamar Simon Hoffs,,,6480.0,http://dbpedia.org/resource/Tamar_Simon_Hoffs,Tamar Simon Hoffs,Susanna Hoffs|John Terlesky|Joan Cusack|Michael Ontkean|Dedee Pfeiffer,,
35,3218,Poison (1991),http://dbpedia.org/resource/Poison_(film),Drama,http://dbpedia.org/resource/Todd_Haynes,Todd Haynes,http://dbpedia.org/resource/United_States,United States,5100.0,http://dbpedia.org/resource/Todd_Haynes,Todd Haynes,Rob LaBelle|John Leguizamo|James Lyons (film editor)|Buck Smith,,Christine Vachon
36,3812,Everything You Always Wanted to Know About Sex (1972),http://dbpedia.org/resource/Everything_You_Always_Wanted_to_Know_About_Sex*_(*But_Were_Afraid_to_Ask),Comedy,,,,,,,,,,
37,3943,Bamboozled (2000),http://dbpedia.org/resource/Bamboozled,Comedy,http://dbpedia.org/resource/Spike_Lee,Spike Lee,,,8100.0,http://dbpedia.org/resource/Spike_Lee,Spike Lee,Damon Wayans|Tommy Davidson|Michael Rapaport|Jada Pinkett Smith|Savion Glover,,
38,692,Solo (1996),http://dbpedia.org/resource/Solo_(1996_film),Action|Sci-Fi|Thriller,http://dbpedia.org/resource/Norberto_Barba,Norberto Barba,,,5640.0,,,William Sadler (actor)|Mario Van Peebles|Barry Corbin|Adrien Brody|Demián Bichir,,
39,2521,Airport 1975 (1974),http://dbpedia.org/resource/Airport_1975,Action|Drama|Thriller,http://dbpedia.org/resource/Jack_Smight,Jack Smight,,,6360.0,http://dbpedia.org/resource/Arthur_Hailey,Arthur Hailey,"Charlton Heston|Erik Estrada|Karen Black|George Kennedy|Susan Clark|Efrem Zimbalist, Jr.",,
40,3548,Auntie Mame (1958),http://dbpedia.org/resource/Auntie_Mame_(film),Comedy|Drama,http://dbpedia.org/resource/Morton_DaCosta,Morton DaCosta,,,8580.0,http://dbpedia.org/resource/Patrick_Dennis,Patrick Dennis,Coral Browne|Forrest Tucker|Rosalind Russell|Pippa Scott|Roger Smith (actor)|Peggy Cass|Joanna Barnes|Robin Hughes,,
41,934,Father of the Bride (1950),http://dbpedia.org/resource/Father_of_the_Bride_(1950_film),Comedy,http://dbpedia.org/resource/Vincente_Minnelli,Vincente Minnelli,,,5520.0,http://dbpedia.org/resource/Albert_Hackett,Albert Hackett,Elizabeth Taylor|Spencer Tracy|Joan Bennett,,
42,3,Grumpier Old Men (1995),http://dbpedia.org/resource/Grumpier_Old_Men,Comedy|Romance,http://dbpedia.org/resource/Howard_Deutch,Howard Deutch,,,6060.0,http://dbpedia.org/resource/Mark_Steven_Johnson,Mark Steven Johnson,Sophia Loren|Jack Lemmon|Walter Matthau|Daryl Hannah|Ann-Margret|Kevin Pollak,Italian language,
43,2245,Working Girl (1988),http://dbpedia.org/resource/Working_Girl,Comedy|Drama|Romance,http://dbpedia.org/resource/Mike_Nichols,Mike Nichols,,,6840.0,http://dbpedia.org/resource/Kevin_Wade,Kevin Wade,Harrison Ford|Melanie Griffith|Sigourney Weaver,,
44,3094,Maurice (1987),http://dbpedia.org/resource/Maurice_(film),Drama|Romance,http://dbpedia.org/resource/James_Ivory_(director),James Ivory (director),,,8400.0,http://dbpedia.org/resource/Kit_Hesketh-Harvey,Kit Hesketh-Harvey,Ben Kingsley|Denholm Elliott|Hugh Grant|Simon Callow|James Wilby|Billie Whitelaw|Judy Parfitt|Barry Foster (actor)|Phoebe Nicholls|Rupert Graves,,Channel 4|Merchant Ivory Productions
45,1577,Mondo (1996),http://dbpedia.org/resource/Mondo_cane,Drama,,,,,,,,,,
46,2174,Beetlejuice (1988),http://dbpedia.org/resource/Beetlejuice,Comedy|Fantasy,http://dbpedia.org/resource/Tim_Burton,Tim Burton,,,5520.0,http://dbpedia.org/resource/Michael_McDowell_(author),Michael McDowell (author),Winona Ryder|Alec Baldwin|Jeffrey Jones|Geena Davis|Michael Keaton|Catherine O'Hara,,The Geffen Film Company
47,1445,McHale's Navy (1997),http://dbpedia.org/resource/McHale's_Navy_(1997_film),Comedy|War,http://dbpedia.org/resource/Bryan_Spicer,Bryan Spicer,,,6480.0,,,Tim Curry|David Alan Grier|Tom Arnold (actor)|Debra Messing|Ernest Borgnine|Dean Stockwell,,The Bubble Factory
48,1707,Home Alone 3 (1997),http://dbpedia.org/resource/Home_Alone_3,Children|Comedy,http://dbpedia.org/resource/Raja_Gosnell,Raja Gosnell,,,6060.0,http://dbpedia.org/resource/John_Hughes_(filmmaker),John Hughes (filmmaker),Alex D. Linz|Haviland Morris,,
49,1921,Pi (1998),http://dbpedia.org/resource/Pi_(film),Drama|Sci-Fi|Thriller,http://dbpedia.org/resource/Darren_Aronofsky,Darren Aronofsky,,,5040.0,http://dbpedia.org/resource/Darren_Aronofsky,Darren Aronofsky,Mark Margolis|Samia Shoaib|Ben Shenkman,,Protozoa Pictures
50,522,Romper Stomper (1992),http://dbpedia.org/resource/Romper_Stomper,Action|Drama,http://dbpedia.org/resource/Geoffrey_Wright,Geoffrey Wright,http://dbpedia.org/resource/Australia,Australia,5640.0,http://dbpedia.org/resource/Geoffrey_Wright,Geoffrey Wright,Alex Scott (actor)|Russell Crowe|Daniel Pollock|Jacqueline McKenzie,,Film Victoria
51,2000,Lethal Weapon (1987),http://dbpedia.org/resource/Lethal_Weapon,Action|Comedy|Crime|Drama,http://dbpedia.org/resource/Richard_Donner,Richard Donner,,,6600.0,http://dbpedia.org/resource/Shane_Black,Shane Black,Mel Gibson|Gary Busey|Danny Glover,,Silver Pictures
52,3345,"Charlie, the Lonesome Cougar (1967)","http://dbpedia.org/resource/Charlie,_the_Lonesome_Cougar",Adventure|Children,http://dbpedia.org/resource/Winston_Hibler,Winston Hibler,,,4500.0,,,,,Walt Disney Pictures
53,2134,Weird Science (1985),http://dbpedia.org/resource/Weird_Science_(film),Comedy|Fantasy|Sci-Fi,http://dbpedia.org/resource/John_Hughes_(filmmaker),John Hughes (filmmaker),,,5640.0,http://dbpedia.org/resource/John_Hughes_(filmmaker),John Hughes (filmmaker),Anthony Michael Hall|Ilan Mitchell-Smith|Kelly Le Brock,,John Hughes (filmmaker)|Silver Pictures
54,3549,Guys and Dolls (1955),http://dbpedia.org/resource/Guys_and_Dolls_(film),Comedy|Musical|Romance,http://dbpedia.org/resource/Joseph_L._Mankiewicz,Joseph L. Mankiewicz,,,9000.0,http://dbpedia.org/resource/Ben_Hecht,Ben Hecht,Jean Simmons|Frank Sinatra|Marlon Brando|Vivian Blaine,,Samuel Goldwyn Productions
55,552,"Three Musketeers, The (1993)",http://dbpedia.org/resource/The_Three_Musketeers_(1993_film),Action|Adventure|Comedy|Romance,http://dbpedia.org/resource/Stephen_Herek,Stephen Herek,http://dbpedia.org/resource/Austria,Austria,6300.0,http://dbpedia.org/resource/David_Loughery,David Loughery,,,Jordan Kerner|Walt Disney Pictures|Caravan Pictures
56,1728,"Winter Guest, The (1997)",http://dbpedia.org/resource/The_Winter_Guest,Drama,http://dbpedia.org/resource/Alan_Rickman,Alan Rickman,,,6480.0,http://dbpedia.org/resource/Alan_Rickman,Alan Rickman,Sheila Reid|Phyllida Law|Gary Hollywood|Sandra Voe|Sean Biggerstaff|Emma Thompson,,Capitol Films
57,3944,Bootmen (2000),http://dbpedia.org/resource/Bootmen,Comedy|Drama,http://dbpedia.org/resource/Dein_Perry,Dein Perry,,,5520.0,http://dbpedia.org/resource/Dein_Perry,Dein Perry,Adam Garcia|Sophie Lee|Sam Worthington,,
58,2951,"Fistful of Dollars, A (1964)",http://dbpedia.org/resource/A_Fistful_of_Dollars,Action|Western,http://dbpedia.org/resource/Sergio_Leone,Sergio Leone,http://dbpedia.org/resource/Italy,Italy,5940.0,http://dbpedia.org/resource/Clint_Eastwood,Clint Eastwood,Clint Eastwood|Sieghardt Rupp|Joseph Egger|Marianne Koch|Wolfgang Lukschy|Gian Maria Volontè,Italian language|English language,Constantin Film
59,1178,Paths of Glory (1957),http://dbpedia.org/resource/Paths_of_Glory,Drama|War,http://dbpedia.org/resource/Stanley_Kubrick,Stanley Kubrick,,,5280.0,,,,,Bryna Productions
60,2763,"Thomas Crown Affair, The (1999)",http://dbpedia.org/resource/The_Thomas_Crown_Affair_(1999_film),Action|Mystery,http://dbpedia.org/resource/John_McTiernan,John McTiernan,,,6780.0,http://dbpedia.org/resource/Kurt_Wimmer,Kurt Wimmer,Pierce Brosnan|Denis Leary|Rene Russo,,Irish DreamTime
61,2817,Aces: Iron Eagle III (1992),http://dbpedia.org/resource/Aces:_Iron_Eagle_III,Action,http://dbpedia.org/resource/John_Glen_(director),John Glen (director),,,5880.0,,,"Rachel McLish|Horst Buchholz|Louis Gossett, Jr.|Sonny Chiba|Christopher Cazenove|Paul Freeman (actor)",,
62,3813,Interiors (1978),http://dbpedia.org/resource/Interiors,Drama,http://dbpedia.org/resource/Woody_Allen,Woody Allen,http://dbpedia.org/resource/United_States,United States,5520.0,http://dbpedia.org/resource/Woody_Allen,Woody Allen,Sam Waterston|E. G. Marshall|Kristin Griffith|Diane Keaton|Richard Jordan|Geraldine Page|Maureen Stapleton|Mary Beth Hurt,English language,
63,118,If Lucy Fell (1996),http://dbpedia.org/resource/If_Lucy_Fell,Comedy|Romance,http://dbpedia.org/resource/Eric_Schaeffer,Eric Schaeffer,,,5520.0,http://dbpedia.org/resource/Eric_Schaeffer,Eric Schaeffer,Sarah Jessica Parker|Ben Stiller|Eric Schaeffer|Elle Macpherson,,Motion Picture Corporation of America
64,3862,About Adam (2000),http://dbpedia.org/resource/About_Adam,Comedy,http://dbpedia.org/resource/Gerard_Stembridge,Gerard Stembridge,http://dbpedia.org/resource/United_States,United States,6300.0,http://dbpedia.org/resource/Gerard_Stembridge,Gerard Stembridge,Stuart Townsend|Kate Hudson|Frances O'Connor,,Irish Film Board|BBC Films
65,2522,Airport '77 (1977),http://dbpedia.org/resource/Airport_'77,Drama,http://dbpedia.org/resource/Jerry_Jameson,Jerry Jameson,,,6780.0,,,Christopher Lee|Jack Lemmon|James Stewart|Joseph Cotten|Lee Grant|Olivia de Havilland|George Kennedy|Brenda Vaccaro,,
66,2246,Stars and Bars (1988),http://dbpedia.org/resource/Stars_and_bars,Action|Comedy|Romance,,,,,,,,,,
67,2683,Austin Powers: The Spy Who Shagged Me (1999),http://dbpedia.org/resource/Austin_Powers:_The_Spy_Who_Shagged_Me,Action|Adventure|Comedy,http://dbpedia.org/resource/Jay_Roach,Jay Roach,,,5760.0,http://dbpedia.org/resource/Michael_McCullers,Michael McCullers,Heather Graham|Seth Green|Mindy Sterling|Mike Myers|Robert Wagner|Rob Lowe|Elizabeth Hurley|Michael York,,
68,3037,Little Big Man (1970),http://dbpedia.org/resource/Little_Big_Man_(film),Western,http://dbpedia.org/resource/Arthur_Penn,Arthur Penn,,,8340.0,http://dbpedia.org/resource/Thomas_Berger_(novelist),Thomas Berger (novelist),Dustin Hoffman|Faye Dunaway|Richard Mulligan|Chief Dan George|Cal Bellini|Martin Balsam,,CBS
69,517,Rising Sun (1993),http://dbpedia.org/resource/Rising_Sun_(film),Action|Drama|Mystery,http://dbpedia.org/resource/Philip_Kaufman,Philip Kaufman,,,7500.0,http://dbpedia.org/resource/Michael_Crichton,Michael Crichton,Kevin Anderson (actor)|Mako Iwamatsu|Sean Connery|Tia Carrere|Harvey Keitel|Wesley Snipes|Cary-Hiroyuki Tagawa,,
70,1483,Crash (1996),http://dbpedia.org/resource/Crash_(1996_film),Drama|Thriller,http://dbpedia.org/resource/David_Cronenberg,David Cronenberg,,,6000.0,http://dbpedia.org/resource/David_Cronenberg,David Cronenberg,Holly Hunter|James Spader|Elias Koteas|Rosanna Arquette|Deborah Kara Unger,,Telefilm Canada|The Movie Network
71,1446,Kolya (1996),http://dbpedia.org/resource/Kolya,Comedy|Drama,http://dbpedia.org/resource/Jan_Svěrák,Jan Svěrák,,,6300.0,http://dbpedia.org/resource/Zdeněk_Svěrák,Zdeněk Svěrák,Libuše Šafránková|Zdeněk Svěrák,Czech language|Russian language|Slovak language,
72,2520,Airport (1970),http://dbpedia.org/resource/Airport_(1970_film),Drama,http://dbpedia.org/resource/George_Seaton,George Seaton,,,8220.0,http://dbpedia.org/resource/George_Seaton,George Seaton,Burt Lancaster|Jean Seberg|Van Heflin|Helen Hayes|Dean Martin|Jacqueline Bisset|George Kennedy,,
73,3462,Modern Times (1936),http://dbpedia.org/resource/Modern_Times_(film),Comedy|Drama|Romance,http://dbpedia.org/resource/Charlie_Chaplin,Charlie Chaplin,,,5220.0,http://dbpedia.org/resource/Charlie_Chaplin,Charlie Chaplin,Charlie Chaplin|Tiny Sandford|Henry Bergman|Paulette Goddard|Chester Conklin,,
74,523,Ruby in Paradise (1993),http://dbpedia.org/resource/Ruby_in_Paradise,Drama,http://dbpedia.org/resource/Victor_Nuñez,Victor Nuñez,,,6900.0,http://dbpedia.org/resource/Victor_Nuñez,Victor Nuñez,,,
75,2247,Married to the Mob (1988),http://dbpedia.org/resource/Married_to_the_Mob,Comedy,http://dbpedia.org/resource/Jonathan_Demme,Jonathan Demme,,,6240.0,http://dbpedia.org/resource/Barry_Strugatz,Barry Strugatz,Mercedes Ruehl|Alec Baldwin|Michelle Pfeiffer|Matthew Modine|Dean Stockwell,,
76,2024,"Rapture, The (1991)",http://dbpedia.org/resource/Rapture_(1965_film),Drama|Mystery,http://dbpedia.org/resource/John_Guillermin,John Guillermin,,,6240.0,http://dbpedia.org/resource/Ennio_Flaiano,Ennio Flaiano,Melvyn Douglas|Dean Stockwell|Patricia Gozzi,,
77,3683,Blood Simple (1984),http://dbpedia.org/resource/Blood_Simple,Crime|Drama|Film-Noir,http://dbpedia.org/resource/Coen_brothers,Coen brothers,,,5940.0,,,Samm-Art Williams|Dan Hedaya|Frances McDormand|M. Emmet Walsh|John Getz,,
78,119,"Steal Big, Steal Little (1995)",http://dbpedia.org/resource/Steal_Big_Steal_Little,Comedy,http://dbpedia.org/resource/Andrew_Davis_(director),Andrew Davis (director),,,8100.0,http://dbpedia.org/resource/Andrew_Davis_(director),Andrew Davis (director),Alan Arkin|David Ogden Stiers|Rachel Ticotin|Andy García|Richard Bradford (actor)|Joe Pantoliano|Kevin McCarthy (actor)|Ally Walker,,
79,2310,"Mighty, The (1998)",http://dbpedia.org/resource/The_Mighty,Drama,http://dbpedia.org/resource/Peter_Chelsom,Peter Chelsom,,,6000.0,http://dbpedia.org/resource/Charles_Leavitt,Charles Leavitt,Gillian Anderson|Kieran Culkin|Harry Dean Stanton|James Gandolfini|Sharon Stone|Gena Rowlands|Elden Henson,,Scholastic Corporation
80,1729,Jackie Brown (1997),http://dbpedia.org/resource/Jackie_Brown_(film),Crime|Drama|Thriller,,,,,,,,,,
81,388,Boys Life (1995),http://dbpedia.org/resource/Boys_Life_(film),Drama,,,,,5460.0,,,,,
82,2555,Baby Geniuses (1999),http://dbpedia.org/resource/Baby_Geniuses,Comedy,http://dbpedia.org/resource/Bob_Clark,Bob Clark,,,5700.0,http://dbpedia.org/resource/Bob_Clark,Bob Clark,Christopher Lloyd|Ruby Dee|Kathleen Turner|Kim Cattrall|Peter MacNicol,,Triumph Films
83,3424,Do the Right Thing (1989),http://dbpedia.org/resource/Do_the_Right_Thing,Drama,http://dbpedia.org/resource/Spike_Lee,Spike Lee,,,7200.0,http://dbpedia.org/resource/Spike_Lee,Spike Lee,,,
84,1623,Wishmaster (1997),http://dbpedia.org/resource/Wishmaster_(film),Horror,http://dbpedia.org/resource/Robert_Kurtzman,Robert Kurtzman,,,5400.0,,,Andrew Divoff|Robert Englund|Jenny O'Hara|Wendy Benson|Tammy Lauren,,
85,3945,Digimon: The Movie (2000),http://dbpedia.org/resource/Digimon:_The_Movie,Adventure|Animation|Children,http://dbpedia.org/resource/Mamoru_Hosoda,Mamoru Hosoda,http://dbpedia.org/resource/Japan,Japan,5820.0,http://dbpedia.org/resource/Jeff_Nimoy,Jeff Nimoy,Digimon: The Movie,,Fox Kids|Toei Animation|Saban Entertainment
86,3038,"Face in the Crowd, A (1957)",http://dbpedia.org/resource/A_Face_in_the_Crowd_(film),Drama,http://dbpedia.org/resource/Elia_Kazan,Elia Kazan,,,7500.0,http://dbpedia.org/resource/Budd_Schulberg,Budd Schulberg,Lee Remick|Anthony Franciosa|Andy Griffith|Patricia Neal|Walter Matthau,,
87,3219,Pacific Heights (1990),http://dbpedia.org/resource/Pacific_Heights_(film),Mystery|Thriller,http://dbpedia.org/resource/John_Schlesinger,John Schlesinger,,,6120.0,,,Mako Iwamatsu|Melanie Griffith|Matthew Modine|Laurie Metcalf|Michael Keaton,,Morgan Creek Productions
